sku,nombre,categoria_id,perecedero,vida_util_dias,precio_referencia,margen_objetivo,descripcion,tags
SKU_024,Mesa y Vajilla Festiva SKU_024,CAT_MESA,False,,17.24,0.542,Producto navideno sintetico SKU_024 de Mesa y Vajilla Festiva,navidad;retail;temporada
SKU_025,Empaque y Regaleria SKU_025,CAT_EMPAQUE,False,,6.21,0.374,Producto navideno sintetico SKU_025 de Empaque y Regaleria,navidad;retail;temporada
SKU_026,Empaque y Regaleria SKU_026,CAT_EMPAQUE,False,,6.34,0.496,Producto navideno sintetico SKU_026 de Empaque y Regaleria,navidad;retail;temporada
SKU_027,Empaque y Regaleria SKU_027,CAT_EMPAQUE,False,,8.13,0.275,Producto navideno sintetico SKU_027 de Empaque y Regaleria,navidad;retail;temporada
SKU_028,Empaque y Regaleria SKU_028,CAT_EMPAQUE,False,,7.75,0.437,Producto navideno sintetico SKU_028 de Empaque y Regaleria,navidad;retail;temporada
SKU_029,Empaque y Regaleria SKU_029,CAT_EMPAQUE,False,,7.86,0.412,Producto navideno sintetico SKU_029 de Empaque y Regaleria,navidad;retail;temporada
SKU_030,Empaque y Regaleria SKU_030,CAT_EMPAQUE,False,,7.9,0.574,Producto navideno sintetico SKU_030 de Empaque y Regaleria,navidad;retail;temporada
SKU_031,Textiles Navidenos SKU_031,CAT_TEXTIL,False,,38.25,0.327,Producto navideno sintetico SKU_031 de Textiles Navidenos,navidad;retail;temporada
SKU_032,Textiles Navidenos SKU_032,CAT_TEXTIL,False,,18.74,0.519,Producto navideno sintetico SKU_032 de Textiles Navidenos,navidad;retail;temporada
SKU_033,Textiles Navidenos SKU_033,CAT_TEXTIL,True,82.0,18.19,0.261,Producto navideno sintetico SKU_033 de Textiles Navidenos,navidad;retail;temporada
SKU_034,Textiles Navidenos SKU_034,CAT_TEXTIL,False,,16.72,0.344,Producto navideno sintetico SKU_034 de Textiles Navidenos,navidad;retail;temporada
SKU_035,Textiles Navidenos SKU_035,CAT_TEXTIL,False,,24.95,0.58,Producto navideno sintetico SKU_035 de Textiles Navidenos,navidad;retail;temporada
SKU_036,Textiles Navidenos SKU_036,CAT_TEXTIL,False,,28.81,0.36,Producto navideno sintetico SKU_036 de Textiles Navidenos,navidad;retail;temporada
SKU_037,Decoracion Exterior SKU_037,CAT_EXTERIOR,False,,40.68,0.388,Producto navideno sintetico SKU_037 de Decoracion Exterior,navidad;retail;temporada
SKU_038,Decoracion Exterior SKU_038,CAT_EXTERIOR,False,,33.2,0.411,Producto navideno sintetico SKU_038 de Decoracion Exterior,navidad;retail;temporada
SKU_039,Decoracion Exterior SKU_039,CAT_EXTERIOR,False,,33.34,0.336,Producto navideno sintetico SKU_039 de Decoracion Exterior,navidad;retail;temporada
SKU_040,Decoracion Exterior SKU_040,CAT_EXTERIOR,False,,50.39,0.342,Producto navideno sintetico SKU_040 de Decoracion Exterior,navidad;retail;temporada
SKU_041,Decoracion Exterior SKU_041,CAT_EXTERIOR,False,,51.72,0.564,Producto navideno sintetico SKU_041 de Decoracion Exterior,navidad;retail;temporada
SKU_042,Decoracion Exterior SKU_042,CAT_EXTERIOR,False,,48.9,0.327,Producto navideno sintetico SKU_042 de Decoracion Exterior,navidad;retail;temporada
SKU_043,Decoracion Exterior SKU_043,CAT_EXTERIOR,False,,34.86,0.428,Producto navideno sintetico SKU_043 de Decoracion Exterior,navidad;retail;temporada
SKU_044,Premium Coleccionable SKU_044,CAT_PREMIUM,True,33.0,61.9,0.551,Producto navideno sintetico SKU_044 de Premium Coleccionable,navidad;retail;temporada
SKU_045,Premium Coleccionable SKU_045,CAT_PREMIUM,False,,59.93,0.306,Producto navideno sintetico SKU_045 de Premium Coleccionable,navidad;retail;temporada
SKU_046,Premium Coleccionable SKU_046,CAT_PREMIUM,False,,61.66,0.459,Producto navideno sintetico SKU_046 de Premium Coleccionable,navidad;retail;temporada
SKU_047,Premium Coleccionable SKU_047,CAT_PREMIUM,False,,74.03,0.459,Producto navideno sintetico SKU_047 de Premium Coleccionable,navidad;retail;temporada
SKU_048,Premium Coleccionable SKU_048,CAT_PREMIUM,False,,61.75,0.338,Producto navideno sintetico SKU_048 de Premium Coleccionable,navidad;retail;temporada
SKU_049,Premium Coleccionable SKU_049,CAT_PREMIUM,False,,70.14,0.58,Producto navideno sintetico SKU_049 de Premium Coleccionable,navidad;retail;temporada
SKU_050,Premium Coleccionable SKU_050,CAT_PREMIUM,False,,59.11,0.29,Producto navideno sintetico SKU_050 de Premium Coleccionable,navidad;retail;temporada
