sku,proveedor_id,ultima_fecha_compra,ultimo_precio_pyg,ultima_cantidad,total_cantidad_historica,total_lineas_compra
217231,364,2024-10-18,0.89,648.0,648.0,1
217455,364,2024-10-18,35.16,2.0,2.0,1
247252,364,2025-08-29,2.05,144.0,144.0,1
254724,4047,2025-12-23,4545.45455,5.0,5.0,1
215390,364,2024-10-18,12.75,12.0,12.0,1
217266,364,2024-10-18,0.76,576.0,576.0,1
254803,1926,2025-11-24,4.09,24.0,24.0,1
254484,1926,2025-11-24,13.49,16.0,16.0,1
217219,1393,2024-10-14,14.68,36.0,36.0,1
245920,364,2025-09-08,6.55,16.0,16.0,1
187825,364,2024-10-01,6.52,24.0,24.0,1
247034,364,2025-08-29,20.33,6.0,6.0,1
219837,364,2025-09-08,3.07,48.0,96.0,2
247978,3659,2025-10-24,1.46,72.0,72.0,1
246729,364,2025-09-08,1.79,48.0,48.0,1
217350,364,2024-10-18,8.24,18.0,18.0,1
258975,364,2026-03-16,5.27,36.0,36.0,1
217089,364,2024-10-18,2.34,72.0,72.0,1
248382,364,2025-09-19,1.85,96.0,96.0,1
206308,1654,2025-07-14,97.39,2.0,4.0,2
215451,364,2024-10-18,1.48,132.0,132.0,1
247121,364,2025-08-29,4.9,72.0,72.0,1
215903,364,2024-10-01,7.54,48.0,48.0,1
217245,1393,2024-10-14,0.98,500.0,500.0,1
219796,3659,2024-10-22,2.4,24.0,24.0,1
246102,364,2025-09-08,3.98,24.0,24.0,1
250652,1393,2025-09-26,30.89,1.0,1.0,1
217307,1393,2024-10-14,3.37,38.0,38.0,1
248071,3659,2025-10-24,25.27,20.0,20.0,1
167889,2501,2025-11-19,41045.45455,200.0,320.0,6
216873,364,2024-10-18,2.34,144.0,144.0,1
223442,2613,2024-12-09,4772.72727,24.0,30.0,2
191358,941,2024-11-15,9090.90909,25.0,42.0,2
217451,364,2024-10-18,2.34,24.0,24.0,1
250571,1393,2025-09-26,5.31,48.0,48.0,1
256006,4110,2025-12-01,100000.0,2.0,2.0,1
248343,364,2025-09-19,14.47,8.0,8.0,1
245951,364,2025-09-08,9.87,12.0,12.0,1
254673,1926,2025-11-24,2.45,72.0,72.0,1
254863,3784,2025-12-17,35000.0,8.0,17.0,3
194053,2941,2025-12-20,56636.36364,2.0,8.0,4
215882,364,2024-10-18,2.02,96.0,96.0,1
250311,1393,2025-09-26,2.62,24.0,24.0,1
217227,1393,2024-10-14,2.34,36.0,36.0,1
247320,364,2025-08-29,2.47,72.0,72.0,1
245989,364,2025-09-08,11.1,12.0,12.0,1
215508,364,2024-10-18,4.86,48.0,48.0,1
254814,1926,2025-11-24,1.49,108.0,108.0,1
247194,364,2025-08-29,0.71,504.0,504.0,1
215880,364,2025-08-29,4.52,36.0,72.0,2
247543,3960,2025-09-22,40.82,24.0,24.0,1
247100,364,2025-08-29,4.15,48.0,48.0,1
245976,364,2025-09-08,11.1,12.0,12.0,1
217246,1393,2024-10-14,1.26,240.0,240.0,1
125152,94,2025-12-23,9090.90909,36.0,562.0,11
219874,3659,2024-10-22,3.79,15.0,15.0,1
245726,364,2025-09-08,5.35,36.0,36.0,1
247033,364,2025-08-29,16.79,6.0,6.0,1
247175,364,2025-08-29,1.39,96.0,96.0,1
217086,364,2024-10-18,2.16,144.0,144.0,1
219847,3659,2024-10-22,5.44,12.0,12.0,1
257048,129,2025-12-03,90909.09091,2.0,2.0,1
217216,1393,2024-10-14,5.39,24.0,24.0,1
245684,364,2025-09-08,34.86,6.0,6.0,1
215875,364,2024-10-18,3.85,36.0,36.0,1
250659,1393,2025-09-26,4.57,48.0,48.0,1
248029,3659,2025-10-24,3.37,48.0,48.0,1
219572,364,2024-11-07,2.08,36.0,36.0,1
246067,364,2025-09-08,3.32,48.0,48.0,1
194055,2941,2025-12-17,101818.18182,4.0,10.0,4
217533,364,2024-10-18,12.6,4.0,4.0,1
250383,1393,2025-09-26,8.79,36.0,36.0,1
246338,1654,2025-08-22,1.6,50.0,50.0,1
247526,3960,2025-09-22,4.23,48.0,48.0,1
217135,1393,2024-10-14,2.62,12.0,12.0,1
217481,364,2024-10-18,2.86,24.0,24.0,1
248231,364,2025-09-19,1.5,144.0,144.0,1
248375,364,2025-09-19,1.66,120.0,120.0,1
250744,3515,2025-11-28,6.14,12.0,12.0,1
247227,364,2025-08-29,1.84,48.0,48.0,1
256630,2941,2025-12-17,19090.90909,10.0,10.0,1
247377,364,2025-08-29,3.02,24.0,24.0,1
195124,1362,2024-12-17,189090.90909,8.0,25.0,6
246736,364,2025-09-08,1.59,72.0,72.0,1
254716,975,2025-10-28,10836.36364,3.0,3.0,1
247037,364,2025-08-29,3.79,72.0,72.0,1
247475,364,2025-08-29,4.79,24.0,24.0,1
258438,2501,2025-12-19,139361.81818,11.0,11.0,1
206462,1654,2025-07-14,3.16,48.0,96.0,2
250476,1393,2025-09-26,0.61,72.0,72.0,1
248158,364,2025-09-19,1.34,108.0,108.0,1
217153,1393,2024-10-14,8.06,10.0,10.0,1
219860,364,2024-11-07,4.0,24.0,24.0,1
206440,1654,2025-07-14,2.68,48.0,96.0,2
217509,364,2024-10-18,47.5,2.0,2.0,1
218630,364,2024-11-07,8.58,48.0,48.0,1
256413,3418,2025-12-19,94818.18182,15.0,15.0,1
206442,1654,2025-07-14,3.16,48.0,96.0,2
187803,364,2025-09-19,3.58,24.0,24.0,1
223248,2728,2024-11-22,26363.63636,100.0,100.0,1
256633,2941,2025-12-20,152727.27273,3.0,6.0,2
215204,364,2024-11-07,4.02,24.0,24.0,1
246749,364,2025-09-08,0.84,144.0,144.0,1
247052,364,2025-08-29,5.15,48.0,48.0,1
245994,364,2025-09-08,8.77,12.0,12.0,1
247266,364,2025-08-29,2.71,72.0,72.0,1
247353,364,2025-08-29,11.19,12.0,12.0,1
162196,1926,2024-09-17,62.1,18.0,18.0,1
217295,1393,2024-10-14,4.17,57.0,57.0,1
247996,3659,2025-10-24,7.29,150.0,150.0,1
248370,364,2025-09-19,1.32,128.0,128.0,1
247057,364,2025-08-29,4.46,48.0,48.0,1
248011,3659,2025-10-24,3.31,960.0,960.0,1
166445,2798,2025-12-02,35000.0,3.0,5.0,2
250376,1393,2025-09-26,0.71,288.0,288.0,1
247118,364,2025-08-29,1.31,48.0,48.0,1
256013,129,2025-11-18,63636.36364,1.0,1.0,1
247973,3659,2025-10-24,0.86,72.0,72.0,1
136789,1926,2024-09-17,2.7,72.0,72.0,1
250632,1393,2025-09-26,69.15,2.0,2.0,1
246513,1654,2025-08-22,0.88,50.0,50.0,1
218627,1393,2024-11-07,3.42,24.0,24.0,1
257870,2941,2025-12-20,25454.54545,8.0,8.0,1
250467,1393,2025-09-26,0.78,24.0,24.0,1
217438,364,2024-10-18,4.86,36.0,36.0,1
250544,1393,2025-09-26,4.63,24.0,24.0,1
247214,364,2025-08-29,4.44,72.0,72.0,1
245761,364,2025-09-08,2.53,36.0,36.0,1
255412,2798,2025-11-12,26727.27273,8.0,8.0,1
218657,364,2024-11-07,3.29,36.0,36.0,1
246879,364,2025-09-08,2.27,48.0,48.0,1
160317,364,2025-08-29,1.54,96.0,240.0,2
247226,364,2025-08-29,1.45,120.0,120.0,1
193571,3406,2024-11-11,109090.90909,5.0,5.0,1
160316,364,2025-08-29,10.84,12.0,60.0,2
215772,364,2024-10-01,2.03,64.0,64.0,1
250639,1393,2025-09-26,10.53,12.0,12.0,1
255562,2798,2025-11-12,26727.27273,8.0,8.0,1
248315,364,2025-09-19,0.97,144.0,144.0,1
217431,364,2024-10-18,7.33,12.0,12.0,1
250287,1393,2025-09-26,2.82,36.0,36.0,1
257356,639,2026-02-06,40181.81818,6.0,20.0,4
223096,3418,2024-12-12,113909.09091,3.0,8.0,2
186676,364,2024-10-18,2.11,48.0,48.0,1
217331,364,2024-10-18,1.68,120.0,120.0,1
248152,3659,2025-10-30,29.06,6.0,6.0,1
213337,1393,2024-07-22,4.57,10.0,10.0,1
254869,1926,2025-11-24,2.87,36.0,36.0,1
187834,364,2024-10-01,5.54,48.0,48.0,1
247528,3960,2025-09-22,11.23,60.0,60.0,1
254128,1926,2025-11-24,1.65,72.0,72.0,1
255133,2663,2025-12-22,76363.63636,6.0,12.0,2
215570,364,2024-10-18,2.59,48.0,48.0,1
247030,364,2025-08-29,5.03,48.0,48.0,1
247114,364,2025-08-29,4.93,48.0,48.0,1
214653,364,2025-08-29,18.12,6.0,30.0,2
215759,364,2024-10-01,54.56,2.0,2.0,1
194060,2941,2025-12-17,56636.36364,4.0,5.0,2
215191,364,2024-11-07,77.44,12.0,12.0,1
215205,364,2024-11-07,4.11,24.0,24.0,1
118582,94,2026-03-27,12727.27273,122.0,1043.0,18
219807,364,2024-11-07,4.89,48.0,48.0,1
254643,1926,2025-11-24,0.36,360.0,360.0,1
254671,1926,2025-11-24,5.69,8.0,8.0,1
247032,364,2025-08-29,13.01,9.0,9.0,1
246059,364,2025-09-08,1.67,108.0,108.0,1
246060,364,2025-09-08,1.17,144.0,144.0,1
247186,364,2025-08-29,1.17,144.0,144.0,1
248429,364,2025-09-19,3.7,48.0,48.0,1
139792,1362,2025-11-26,99545.45455,16.0,27.0,2
247183,364,2025-08-29,10.21,10.0,10.0,1
215240,364,2024-10-01,2.27,72.0,72.0,1
254821,1926,2025-11-24,2.92,36.0,36.0,1
247028,364,2025-08-29,1.19,120.0,120.0,1
219851,3659,2024-10-22,6.62,12.0,12.0,1
217505,364,2024-10-18,3.89,24.0,24.0,1
222651,2502,2024-12-13,63272.72727,13.0,45.0,3
245946,364,2025-09-08,11.11,24.0,24.0,1
253969,364,2025-11-24,5.22,12.0,12.0,1
250594,1393,2025-09-26,7.12,20.0,20.0,1
248052,3659,2025-10-24,42.81,6.0,6.0,1
254275,3659,2025-10-22,0.4472,250.0,250.0,1
187017,364,2024-10-18,2.32,144.0,144.0,1
215863,364,2024-10-01,2.77,75.0,75.0,1
247137,364,2025-08-29,4.66,48.0,48.0,1
191357,941,2025-11-11,13636.36364,18.0,36.0,2
215306,364,2024-10-01,7.54,12.0,12.0,1
254807,1926,2025-11-24,2.57,144.0,144.0,1
250390,1393,2025-09-26,0.91,240.0,240.0,1
170030,2484,2024-12-06,36363.63636,20.0,20.0,1
250648,1393,2025-09-26,5.74,6.0,6.0,1
248390,364,2025-09-19,4.8,32.0,32.0,1
247291,364,2025-08-29,0.71,288.0,288.0,1
215791,364,2024-11-07,3.26,96.0,144.0,2
213756,3515,2024-08-07,4.17,96.0,96.0,1
203500,3515,2025-11-28,1.76,24.0,60.0,2
250359,1393,2025-09-26,1.16,288.0,288.0,1
246259,1654,2025-08-22,0.88,48.0,48.0,1
247035,364,2025-08-29,3.77,72.0,72.0,1
247217,364,2025-08-29,1.88,96.0,96.0,1
247062,364,2025-08-29,2.06,24.0,24.0,1
125128,94,2024-11-14,59000.0,10.0,10.0,1
247558,3960,2025-09-22,50.95,24.0,24.0,1
215535,364,2025-08-29,33.98,2.0,6.0,2
217550,364,2024-10-18,18.56,12.0,12.0,1
247516,3960,2025-09-22,50.71,12.0,12.0,1
246830,364,2025-09-08,6.54,24.0,24.0,1
247058,364,2025-08-29,4.31,48.0,48.0,1
254822,1926,2025-11-24,2.92,36.0,36.0,1
246832,364,2025-09-08,4.94,24.0,24.0,1
187823,364,2024-10-01,10.42,8.0,8.0,1
254125,1926,2025-11-24,1.54,72.0,72.0,1
254812,1926,2025-11-24,3.62,144.0,144.0,1
248504,364,2025-09-19,0.94,192.0,192.0,1
248327,364,2025-09-19,5.17,48.0,48.0,1
247060,364,2025-08-29,4.31,96.0,96.0,1
250405,1393,2025-09-26,0.99,240.0,240.0,1
254283,3659,2025-10-22,1.56,100.0,100.0,1
217044,1393,2024-10-14,0.52,288.0,288.0,1
217083,364,2024-10-18,2.49,72.0,72.0,1
217356,364,2024-10-18,1.07,192.0,192.0,1
215043,364,2024-10-18,1.06,48.0,48.0,1
250386,1393,2025-09-26,1.19,144.0,144.0,1
246289,1654,2025-08-22,0.35,100.0,100.0,1
247170,364,2025-08-29,4.77,12.0,12.0,1
245960,364,2025-09-08,12.21,12.0,12.0,1
254718,29,2025-12-20,3847.993,65.0,95.0,2
215869,364,2024-10-01,15.09,6.0,6.0,1
247514,3960,2025-09-22,7.48,120.0,120.0,1
253976,364,2025-11-24,3.57,24.0,24.0,1
254293,3659,2025-10-22,1.56,250.0,250.0,1
62913,370,2025-10-10,101745.45455,48.0,96.0,2
219824,364,2024-11-07,5.08,48.0,48.0,1
257382,1074,2025-12-06,2386.36364,34.0,34.0,1
247359,364,2025-08-29,2.18,96.0,96.0,1
217434,364,2024-10-18,8.43,12.0,12.0,1
247533,3960,2025-09-22,2.92,144.0,144.0,1
247385,364,2025-08-29,5.37,24.0,24.0,1
192470,1362,2024-11-11,509090.90909,1.0,3.0,2
246321,1654,2025-08-22,0.32,200.0,200.0,1
247167,364,2025-08-29,2.26,72.0,72.0,1
250316,1393,2025-09-26,1.85,24.0,24.0,1
254672,1926,2025-11-24,5.69,8.0,8.0,1
214789,364,2024-10-01,18.8,3.0,3.0,1
217168,1393,2024-10-14,0.72,288.0,288.0,1
222676,941,2024-11-15,13636.36364,12.0,12.0,1
218680,364,2024-11-07,3.64,18.0,18.0,1
246051,364,2025-09-08,1.75,108.0,108.0,1
246769,364,2025-09-08,6.17,36.0,36.0,1
254818,1926,2025-11-24,4.13,36.0,36.0,1
217152,1393,2024-10-14,12.05,50.0,50.0,1
250760,3515,2025-11-28,4.91,12.0,12.0,1
248320,364,2025-09-19,2.84,48.0,48.0,1
247189,364,2025-08-29,1.07,160.0,160.0,1
219698,364,2024-11-07,13.53,8.0,8.0,1
250320,1393,2025-09-26,4.7,18.0,18.0,1
250337,1393,2025-09-26,1.21,240.0,240.0,1
117082,1362,2025-10-20,136363.63636,5.0,10.0,2
215891,364,2025-08-29,11.65,12.0,18.0,2
219894,364,2024-11-07,5.27,24.0,24.0,1
218619,364,2024-11-07,37.02,9.0,9.0,1
248511,364,2025-09-19,1.63,108.0,108.0,1
247112,364,2025-08-29,4.93,48.0,48.0,1
248050,3659,2025-10-24,1.88,1152.0,1152.0,1
248272,364,2025-09-19,24.03,6.0,6.0,1
217183,1393,2024-10-14,0.81,288.0,288.0,1
255175,1362,2025-11-07,172727.27273,1.0,1.0,1
161556,364,2025-08-29,1.68,96.0,96.0,1
247173,364,2025-08-29,2.28,48.0,48.0,1
246257,1654,2025-08-22,0.88,48.0,48.0,1
255414,941,2025-11-11,10909.09091,18.0,18.0,1
217051,1393,2024-10-14,11.39,12.0,12.0,1
218641,364,2024-11-07,3.07,72.0,72.0,1
250746,3515,2025-11-28,4.42,12.0,12.0,1
215305,364,2024-10-01,8.16,12.0,12.0,1
248057,3659,2025-10-24,0.98,720.0,720.0,1
257095,3712,2025-12-06,101818.18182,30.0,30.0,1
254872,1926,2025-11-24,15.63,10.0,10.0,1
247063,364,2025-08-29,2.21,24.0,24.0,1
246855,364,2025-09-08,19.96,4.0,4.0,1
219615,3655,2024-11-27,58.62,2.0,2.0,1
217139,1393,2024-10-14,4.45,20.0,20.0,1
215199,364,2024-11-07,9.9,16.0,16.0,1
170288,2202,2024-12-17,127272.72727,6.0,13.0,4
254718,556,2025-12-19,4000.0,39.0,39.0,1
246420,1654,2025-08-22,2.31,48.0,48.0,1
171283,3102,2024-11-11,1527.27273,50.0,50.0,1
203497,3515,2025-11-28,1.76,48.0,84.0,2
217279,1393,2024-10-14,0.82,288.0,288.0,1
247218,364,2025-08-29,0.31,240.0,240.0,1
247234,364,2025-08-29,1.57,96.0,96.0,1
222455,1362,2025-11-04,156363.63636,3.0,8.0,2
215393,364,2024-10-01,13.68,12.0,12.0,1
217104,364,2024-10-18,2.38,72.0,72.0,1
221230,941,2025-11-11,3636.36364,18.0,36.0,2
248401,364,2025-09-19,10.69,12.0,12.0,1
250662,1393,2025-09-26,4.12,128.0,128.0,1
245998,364,2025-09-08,13.8,12.0,12.0,1
192208,1362,2025-11-28,363636.36364,1.0,11.0,7
217546,364,2025-08-29,29.43,8.0,24.0,2
247216,364,2025-08-29,0.31,240.0,240.0,1
246048,364,2025-09-08,0.92,216.0,216.0,1
186917,364,2024-10-18,2.67,72.0,72.0,1
215790,364,2024-10-01,5.58,48.0,48.0,1
250408,1393,2025-09-26,0.99,240.0,240.0,1
247349,364,2025-08-29,14.58,12.0,12.0,1
215001,364,2024-10-18,10.79,12.0,12.0,1
250486,1393,2025-09-26,0.45,72.0,72.0,1
194410,364,2024-11-07,66.03,8.0,8.0,1
222584,975,2024-11-14,9008.97867,25.0,25.0,1
247151,364,2025-08-29,6.46,36.0,36.0,1
206447,1654,2025-07-14,5.07,48.0,96.0,2
250570,1393,2025-09-26,5.85,48.0,48.0,1
246220,1654,2025-08-22,2.4,200.0,200.0,1
215816,364,2024-10-18,2.9,72.0,72.0,1
219613,3655,2024-11-27,532.5701,4.0,4.0,1
256053,2502,2025-11-21,56000.0,2.0,2.0,1
250581,1393,2025-09-26,16.88,6.0,6.0,1
246422,1654,2025-08-22,1.58,48.0,48.0,1
248354,364,2025-09-19,2.01,24.0,24.0,1
254709,1926,2025-11-24,0.9,240.0,240.0,1
247471,364,2025-08-29,6.66,12.0,12.0,1
219835,364,2024-11-07,5.21,24.0,24.0,1
220926,1074,2024-10-15,12272.72727,24.0,24.0,1
246274,1654,2025-08-22,0.22,100.0,100.0,1
248271,364,2025-09-19,21.38,6.0,6.0,1
250763,3515,2025-11-28,4.79,12.0,12.0,1
246203,1654,2025-08-22,0.26,432.0,432.0,1
255128,2663,2025-11-24,34363.63636,12.0,12.0,1
215833,364,2024-10-01,2.04,72.0,72.0,1
215443,364,2024-10-01,7.57,16.0,16.0,1
186924,364,2024-10-18,7.82,12.0,12.0,1
247548,3960,2025-09-22,3.05,72.0,72.0,1
218585,1393,2024-11-07,8.12,24.0,24.0,1
246875,364,2025-09-08,3.92,24.0,24.0,1
215222,364,2024-10-01,2.65,48.0,48.0,1
256009,4110,2025-12-01,36363.63636,4.0,4.0,1
198083,3418,2024-12-12,24818.18182,10.0,40.0,4
219587,364,2024-11-07,1.85,96.0,96.0,1
250673,1393,2025-09-26,16.73,8.0,8.0,1
254759,1926,2025-11-24,1.23,48.0,48.0,1
194056,2941,2025-12-17,28636.36364,4.0,8.0,3
246291,1654,2025-08-22,1.05,48.0,48.0,1
222316,1362,2024-11-05,796363.63636,1.0,1.0,1
136611,1926,2024-09-17,25.65,12.0,12.0,1
219846,364,2024-11-07,3.63,36.0,36.0,1
217164,1393,2024-10-14,0.63,360.0,360.0,1
219866,3659,2024-10-22,1.23,12.0,12.0,1
215402,364,2024-10-18,12.64,12.0,12.0,1
248021,3659,2025-10-24,3.12,48.0,48.0,1
253987,364,2025-11-24,4.52,18.0,18.0,1
247417,364,2025-08-29,8.32,10.0,10.0,1
208441,941,2025-11-11,5454.54545,12.0,25.0,2
215899,364,2024-10-18,1.1,144.0,144.0,1
217529,364,2024-10-18,2.65,48.0,48.0,1
219841,3659,2024-10-22,5.44,12.0,12.0,1
247432,364,2025-08-29,18.21,4.0,4.0,1
247047,364,2025-08-29,4.96,32.0,32.0,1
245992,364,2025-09-08,8.85,12.0,12.0,1
250649,1393,2025-09-26,1.29,120.0,120.0,1
250616,1393,2025-09-26,7.29,40.0,40.0,1
246209,1654,2025-08-22,0.99,192.0,192.0,1
247161,364,2025-08-29,1.23,144.0,144.0,1
62927,370,2025-10-10,125745.45455,48.0,168.0,3
247065,364,2025-08-29,1.59,36.0,36.0,1
219805,364,2024-11-07,36.1,4.0,4.0,1
257044,129,2025-12-03,18181.81818,2.0,2.0,1
215256,364,2024-10-01,14.91,6.0,6.0,1
217464,364,2024-10-18,5.24,32.0,32.0,1
