sku,codigo_barras,nombre,nombre_corto,unidad,pais_origen,precio_costo,fecha_ultima_compra,fecha_ultima_actualizacion,fecha_alta,categoria_id,cantidad_stock,perecedero
215191,215191,ARBOL 210CM 110-1400115,ARBOL 210CM 110-1400,Unid,Panamá,712216.0,,,2024-07-22 13:33:18.440,6259,3.0,false
247057,247057,JG BOLA  6PZ 8X16X24CM 130-2502547,Esferas Rojas 6PZ,Unid,Panamá,37431.0,,,2025-08-28 11:11:12.160,6253,31.0,false
246265,246265,DECORACIÓN NAVIDEÑA JSR-DEC-24-313,DECORACIÓN NAVIDEÑA,Unid,China,3922.0,,,2025-08-22 20:59:31.617,6257,2.0,false
250355,250355,PONSETIA 11P 30X30CM DORA 831-AMX044- 25151,PONSETIA 11P 30X30CM,Unid,China,8274.0,,,2025-09-24 10:36:11.510,7373,74.0,false
247393,247393,VELA 8.50X8.50X10CM 200-9500045,Vela Elegante 10cm,Unid,Panamá,45069.0,,,2025-08-28 15:16:13.170,6298,20.0,false
215514,215514,JG BOLA DECOR 130-5001788,JG BOLA 130-5001788,Unid,Panamá,45839.0,,,2024-07-23 11:55:00.777,6253,0.0,false
162383,162383,FLOR DECOR 140-2500772,FLOR DECOR 140-25007,Unid,Panamá,7483.0,,,2022-09-26 09:27:53.057,7373,1.0,false
250615,250615,ESTRELLA DECO 135CM DORAD 831-D105-2528G,Estrella Dorada,Unid,China,139809.0,,,2025-09-24 14:03:05.067,6256,12.0,false
246030,246030,JG COPA/TAPON P/BOTELLA 2PZ 560ML 9X9X16CM 180-040,Copa Tapón Festiva,Unid,Panamá,54841.0,,,2025-08-22 09:28:05.980,7337,0.0,false
247401,247401,JG MARIPOSAS DECOR 2PZ 130-1900845,Mariposas,Unid,Panamá,21233.0,,,2025-08-28 15:30:23.920,6257,3.0,false
247225,247225,ADORNO COLGANTE 11X11X25CM 130-4900175,Adorno Colgante,Unid,Panamá,32565.0,,,2025-08-28 13:39:16.943,7333,0.0,false
191362,191362,ESTRELLA GR,ESTRELLA GR,Unid,Paraguay,10909.0909,,,2023-10-13 16:00:30.683,6257,0.0,false
246771,246771,CASA DECOR C/LUZ A/BAT2 8.3X6.2X9.7CM 201-2801049,CASA DECOR C/LUZ A/B,Unid,Panamá,21429.0,,,2025-08-27 08:28:27.903,6257,0.0,false
215860,215860,ARBOL DECO C/LUZ 140-0500465,ARBOL DECO C/LUZ 140,Unid,Panamá,59708.0,,,2024-07-30 10:53:21.230,6257,0.0,false
247416,247416,SANTA DECOR 25X14X50.5CM 160-4503788,SANTA DECOR 25X14X50,Unid,Panamá,127065.0,,,2025-08-28 15:44:02.903,6255,0.0,false
254278,254278,CAJA RECT CHARMING RED G 46X33X14 1UN 13006049,CAJA RECT CHARMING R,Unid,Brasil,26677.0,,,2025-10-22 09:53:38.733,6273,48.0,false
256449,256449,IMAGENES EN RELIEVE,IMAGENES EN RELIEVE,Unid,Paraguay,150000.0,,,2025-11-25 16:05:01.207,6288,3.0,false
248009,248009,BOLA RATÁN DORADA 4 PIEZAS 1071071,BOLA RATÁN DORADA,Unid,Brasil,20276.0,,,2025-09-09 09:27:06.027,6253,105.0,false
248486,248486,RAMA DECOR ACEBO C/FRUTA 30X14X14CM 140-5201707,Rama Decorativa,Unid,Panamá,7525.0,,,2025-09-12 10:12:51.960,7370,0.0,false
246005,246005,INDIVIDUAL SANTA 45X33CM 170-2800459,INDIVIDUAL 45X33CM 1,Unid,Panamá,8605.0,,,2025-08-21 16:50:10.097,6291,13.0,false
163637,163637,Tallo Navideño 73cm QD2206-1429,Tallo Navideño 73cm,Unid,Panamá,14094.0,,,2022-10-05 11:04:05.380,7370,13.0,false
247186,247186,PONSETIA DECOR 140-2501435,Poinsetia Festiva,Unid,Panamá,9819.0,,,2025-08-28 13:23:02.213,7373,8.0,false
250363,250363,PONSETIA 33X40CM 14P AZU 831-AMX001- 25112W,Poinsettia Azul,Unid,China,11118.0,,,2025-09-24 10:41:56.030,7373,41.0,false
247114,247114,JG BOLAS 4PZ 10CM 130-5002102,Bolas Decorativas,Unid,Panamá,41376.0,,,2025-08-28 12:09:07.240,6253,36.0,false
194059,194059,Kit 6 posavasos Flor de Navidad,Kit 6 posavasos Flor,Unid,Paraguay,41363.6375,,,2023-11-21 08:52:32.553,6295,0.0,false
257047,257047,CARRETA NAVIDEÑA,CARRETA NAVIDEÑA,Unid,Paraguay,54545.4533,,,2025-12-03 14:18:23.933,6288,1.0,false
192369,192369,ADORNO ESTRELLA  831-XMTX306-174G,ADORNO ESTRELLA  831,Unid,Panamá,24962.0,,,2023-10-25 17:00:18.390,6257,2.0,false
247467,247467,PLACA D/PARED 202-1900011,Placa Musical Dorada,Unid,Panamá,90474.0,,,2025-08-28 16:22:41.143,7333,23.0,false
248322,248322,JG CAJAS DE REGALO C/LUZ 3PZ A/BAT2 200-2100880B,JG CAJAS DE REGALO C,Unid,Panamá,178432.0,,,2025-09-10 14:57:46.803,6273,0.0,false
217058,217058,831-XMTX532-2427H PASTILLERO DORA-BCO,PASTILLERO DORA-BCO,Unid,Panamá,20598.0,,,2024-08-23 11:52:58.110,6257,0.0,false
218597,218597,831-D011-030 VILLA NEVIDEÑA C-LUZ,VILLA NEVIDEÑA C-LUZ,Unid,Panamá,176676.0,,,2024-09-13 11:38:17.983,6257,0.0,false
254273,254273,BOLSA TRANSP 60X75 MERRY XMAS 11200855,BOLSA TRANSP 60X75 M,Unid,Brasil,3129.0,,,2025-10-22 09:43:55.233,6269,125.0,false
161669,161669,REGALO C/ LUZ 201-1800131,REGALO C/ LUZ 201-18,Unid,Panamá,327889.0,,,2022-09-19 08:22:08.523,6257,1.0,false
215520,215520,PLATO 180-5100009,PLATO 180-5100009,Unid,Panamá,7933.0,,,2024-07-23 13:22:08.863,6264,0.0,false
222455,222455,ANGEL NEGRO BEATRIZ ALLEN,ANGEL NEGRO BEATRIZ,Unid,Paraguay,156363.6363,,,2024-11-12 09:24:01.180,6255,0.0,false
215508,215508,JG BOLA DECOR  130-5001777,JG BOLA 130-5001777,Unid,Panamá,43768.0,,,2024-07-23 11:45:46.770,6253,0.0,false
216869,216869,RAMA DECOR 140-3400181,RAMA DECOR 140-34001,Unid,URUGUAY,23324.0,,,2024-08-20 12:07:21.410,7370,2.0,false
219827,219827,1021867 SERVILLETA PAPEL NAVIDAD,SERVILLETA PAPEL NAV,Unid,Brasil,14726.0,,,2024-09-26 10:52:06.693,6296,0.0,false
203486,203486,1229-122 FUENTE NUECES,1229-122 FUENTE,Unid,Brasil,69555.0,,,2024-02-21 10:10:45.870,6262,3.0,false
186956,186956,BOLA DECOR 201-3500086,BOLA DECOR 201-35000,Unid,Panamá,22655.0,,,2023-08-07 13:45:05.047,6253,21.0,false
250735,250735,TAZA D TÉ C/PLATITO MERRY CHRISTMAS 250ML 7612-104,TAZA D TÉ C/PLATITO,Unid,Brasil,17659.0,,,2025-09-25 10:25:16.717,6266,0.0,false
247050,247050,JG BOLA  4PZ 10X20X20CM 130-2502469,Bolas Decorativas,Unid,Panamá,39026.0,,,2025-08-28 11:05:25.367,6253,59.0,false
186672,186672,CINTA 130-5400299,CINTA 130-5400299,Unid,Panamá,17472.0,,,2023-08-04 08:47:21.680,6278,1.0,false
250759,250759,PLATO POSTRE CONTOY 21 CM 8125-103,PLATO POSTRE CONTOY,Unid,Brasil,14728.0,,,2025-09-25 11:05:08.037,6264,11.0,false
217424,217424,CALENDARIO DECO 201-2500366,CALENDARIO DECOR,Unid,Panamá,15670.0,,,2024-08-28 09:30:06.547,6257,0.0,false
222333,222333,ARBOL+CANASTA 126/114,ARBOL+CANASTA,Unid,Paraguay,277558.3,,,2024-11-05 14:51:18.127,6256,1.0,false
215293,215293,SANTA 150-8100966A,SANTA 150-8100966A,Unid,Panamá,17473.0,,,2024-07-23 09:30:30.403,6257,0.0,false
245846,245846,RAMA DECOR 2X20X76CM 140-2200851,Rama Decorativa,Unid,Panamá,38303.0,,,2025-08-20 15:22:30.690,7373,25.0,false
246437,246437,ALFOMBRA DE NAVIDAD DE 90 CM JSR-DEC-24-538,ALFOMBRA DE NAVIDAD,Unid,China,45782.0,,,2025-08-23 01:25:18.930,6439,0.0,false
248380,248380,RAMA DECOR GRUESA NEGRA 12X80X12CM 201-3500339,Rama Decorativa,Unid,Panamá,11371.0,,,2025-09-11 13:48:05.643,7370,87.0,false
246747,246747,JG ALAMBRE P/DECORACION 3 PZ 100CM 201-0300723,Alambre Decorativo,Unid,Panamá,6243.0,,,2025-08-26 16:10:15.340,6257,1.0,false
250290,250290,JGO 4 ESFERAS 10CM CAJA  831-239-2470CH,Juego Esferas,Unid,China,22495.0,,,2025-09-24 09:50:10.727,6253,0.0,false
219863,219863,1058469 SERVILLETA PLOMO,SERVILLETA  PLOMO,Unid,Brasil,14726.0,,,2024-09-26 13:38:26.867,6296,0.0,false
222680,222680,ATADOS DE PAJA,ATADOS DE PAJA,Unid,Paraguay,22727.2733,,,2024-11-15 14:17:58.360,7373,1.0,false
215906,215906,CASCABEL 202-1000003,CASCABEL 202-1000003,Unid,Panamá,287880.0,,,2024-07-30 11:53:34.120,6256,0.0,false
255390,255390,CANASTA ROJA CH 831-XDA33-2503,CANASTA ROJA CH 831-,Unid,Estados Unidos,27949.9125,,,2025-11-10 10:28:07.127,6275,0.0,false
219692,219692,170-3000381 COJIN 76X22CN,COJIN 170-3000381,Unid,Panamá,99880.0,,,2024-09-25 14:05:55.167,6289,0.0,false
136615,136615,ARBOL  240CM  NB24190-130,ARBOL  240CM  NB2419,Unid,Paraguay,655249.0,,,2021-09-15 15:40:43.453,6260,0.0,false
217060,217060,831-XMFE28-2408Z15 INDIVIDUAL 33X45CM CREMA,INDIVIDUAL 33X45CM,Unid,Panamá,11522.0,,,2024-08-23 13:33:56.130,6291,0.0,false
186666,186666,JGO BOLAS 4PZ 130-5001534,JGO BOLAS 4PZ 130-50,Unid,Panamá,36951.0,,,2023-08-04 08:36:33.597,6253,0.0,false
194672,194672,VELA A BATERIA 415-690006,VELA A BATERIA 415-6,Unid,Panamá,29697.5714,,,2023-11-27 11:20:22.190,6298,6.0,false
255381,255381,VELA 165G GALLETITAS NAVIDEÑAS,VELA 165G GALLETITAS,Unid,Paraguay,41363.6366,,,2025-11-07 14:39:08.287,6298,0.0,false
222359,222359,831-XMFE104-24051 SAN-HNIE 13CM,SAN-HNIE 13CM,Unid,Panamá,9015.9166,,,2024-11-06 14:59:46.850,6272,4.0,false
163482,163482,ORNAMENTO ANGEL 831-D007-017,ORNAMENTO ANGEL 831-,Unid,Panamá,9633.0,,,2022-10-04 13:33:33.483,6257,0.0,false
247009,247009,JG BOLAS DECOR 6PZ 8X8X8CM 130-1900708,Bolas Decorativas,Unid,Panamá,30130.0,,,2025-08-28 10:32:22.197,6253,8.0,false
247202,247202,BOLA DECOR 8X8X8CM 201-1300241,Esfera Decorativa,Unid,Panamá,10491.0,,,2025-08-28 13:29:17.717,6253,1.0,false
161314,161314,RAMA DECO 140-5200717,RAMA DECO 140-520071,Unid,Panamá,16319.0,,,2022-09-14 09:07:33.997,7370,2.0,false
223569,223569,VELA NAVIDAD 2024 BOHO CON FLOR GIA00622,VELA NAVIDAD 2024,Unid,Paraguay,63636.3636,,,2024-11-25 16:45:27.787,6298,0.0,false
219572,219572,130-9502632 JG BOLA DECOR,130-9502632 JG BOLA,Unid,Panamá,19130.0,,,2024-09-23 15:44:33.777,6253,0.0,false
254507,254507,RECIPIENTE NAVIDEÑO SET DE 3 NB2519-5733,RECIPIENTE NAVIDEÑO,Unid,Panamá,42813.0,,,2025-10-23 14:06:56.933,6262,0.0,false
246037,246037,JG TAZON C/BANDEJA 4PZ 28.5X10X4.6CM 180-2000051,Set Tazones,Unid,Panamá,34845.0,,,2025-08-22 09:50:00.157,7338,0.0,false
247449,247449,CAMPANA C/LUZ 201-8000012,CAMPANA C/LUZ 201-80,Unid,Panamá,32144.0,,,2025-08-28 16:08:04.517,7339,1.0,false
215890,215890,PONSETIA DECO 140-2501235,PONSETIA DECO 140-25,Unid,Panamá,10536.0,,,2024-07-30 11:34:01.500,7373,0.0,false
163469,163469,MOLDE REPOSTERIA 831-XDA03-021,MOLDE REPOSTERIA 831,Unid,Panamá,25333.0,,,2022-10-04 11:34:01.460,6268,0.0,false
222583,222583,SERVILLETA ÑAVIDEÑA,SERVILLETA ÑAVIDEÑA,Unid,Panamá,5917.0,,,2024-11-13 16:38:57.737,6296,153.0,false
256010,256010,KIT RITUAL NATURAL,KIT RITUAL NATURAL,Unid,Paraguay,59090.91,,,2025-11-18 11:12:59.687,6298,0.0,false
215883,215883,ARBOL DECOR 140-1500658,ARBOL DECOR 140-1500,Unid,Panamá,14409.0,,,2024-07-30 11:24:49.240,6257,0.0,false
218625,218625,831-239-2457G ESFERA DISPLAY 6,ESFERA DISPLAY 6,Unid,Panamá,30901.0,,,2024-09-13 14:12:33.573,6253,0.0,false
162616,162616,VINCHA 170-3100146,VINCHA 170-3100146,Unid,Panamá,11905.0,,,2022-09-28 15:25:53.157,6257,2.0,false
223571,223571,DIFUSOR 250ML EUCALIPTO+LAVANDA GIA0012,DIFUSOR 250ML 0012,Unid,Paraguay,76363.6372,,,2024-11-25 16:46:59.630,6298,5.0,false
246279,246279,DECORACIÓN NAVIDEÑA 18 X 60 CM JSR-DEC-24-412,Figurita Navideña,Unid,China,29018.0,,,2025-08-22 21:36:16.343,6257,0.0,false
186765,186765,CAMINO D/MESA 150-8100892,CAMINO D/MESA 150-81,Unid,Panamá,69638.0,,,2023-08-04 15:01:15.977,6290,0.0,false
247168,247168,FLOR DECOR 140-5201718,Flor Decorativa Roja,Unid,Panamá,13008.0,,,2025-08-28 13:08:05.200,7373,1.0,false
219895,219895,202-0100009 CASA C/LUZ A BATERIA,CASA C/LUZ A BAT,Unid,Panamá,39088.0,,,2024-09-26 14:38:11.860,6257,1.0,false
254873,254873,PICK PINO CON HOJA DE EUCALIPTO XM25206-21,PICK PINO CON HOJA D,Unid,Panamá,17403.0,,,2025-10-29 11:57:01.263,7370,6.0,false
254288,254288,CESTA CARTA CRISCART CIMA VRM ROJO 1UN 252565-AC,CESTA CARTA CRISCART,Unid,Brasil,17751.0,,,2025-10-22 10:15:04.383,6276,0.0,false
160578,160578,RAMA DECOR 140-1500294,RAMA DECOR 140-15002,Unid,Panamá,13808.0,,,2022-08-27 09:42:17.963,7370,0.0,false
247285,247285,RAMA DECOR 140-5201728,Rama Decorativa,Unid,Panamá,19303.0,,,2025-08-28 13:55:44.907,7370,1.0,false
217063,217063,831-MX2416-2457L ARBOL LED 58CM,ARBOL LED 58CM,Unid,Panamá,78106.0,,,2024-08-23 13:59:17.700,6257,0.0,false
215523,215523,CARRUAJE SANTA C/LUZ  200-1000114,CARRUAJE 200-1000114,Unid,Panamá,154983.0,,,2024-07-23 13:28:10.057,6257,0.0,false
254502,254502,CAJA IMPRESA DE NAVIDAD PARA COLGAR  NB2519-5729,CAJA IMPRESA DE NAVI,Unid,Panamá,9050.0,,,2025-10-23 14:03:43.120,6273,0.0,false
247341,247341,ARDILLA DECOR 20X14X19CM 202-2500037,Ardilla Decorativa,Unid,Panamá,61937.0,,,2025-08-28 14:29:24.557,6255,0.0,false
255002,255002,CAJA 24X24X10 VERDE,CAJA 24X24X10 VERDE,Unid,Paraguay,34772.7273,,,2025-10-31 13:40:03.027,6273,0.0,false
248508,248508,SANTA COLGANTE DORADO 8X3X16CM 150-8000600,Santa Colgante,Unid,Panamá,13628.0,,,2025-09-12 10:36:13.590,7333,6.0,false
161682,161682,ADORNO P/ COLGAR 201-8900352,Adorno Colgar 201,Unid,Panamá,8619.0,,,2022-09-19 08:54:48.813,6257,59.0,false
217171,217171,831-2788-239101375R BALL 15M FELPA,Esfera Rojo Felpa,Unid,Panamá,17412.0,,,2024-08-26 09:22:44.673,6253,0.0,false
248365,248365,CASA NAV. C/LUZ 20X13.50X20CM 201-2200224,CASA NAV. C/LUZ 20X1,Unid,Panamá,72912.0,,,2025-09-11 09:02:42.867,6257,0.0,false
254272,254272,BOLSA TRANSP 80X90 PAPÁ NOEL CH 11200840,BOLSA TRANSP 80X90 P,Unid,Brasil,4486.0,,,2025-10-22 09:42:35.127,6269,100.0,false
217428,217428,JG ARBOLES C/LUZ A/BAT 200-2100839,JG ARBOLES C/LUZ A/B,Unid,Panamá,169216.0,,,2024-08-28 09:35:06.383,6257,0.0,false
246322,246322,SERVILLETA 16.5 X 16.5 CM 20 PCS JSR-APR25-35,SERVILLETA 20 PCS,Unid,China,3137.0,,,2025-08-22 22:34:27.490,6319,23.0,false
219910,219910,202-0500004 CASCANUECES,CASCANUECES 202-0500,Unid,Panamá,42123.0,,,2024-09-26 14:56:00.740,7340,0.0,false
162301,162301,FLOR DECOR 140-2500187,FLOR DECOR 140-25001,Unid,Panamá,11649.0,,,2022-09-23 17:05:36.343,7373,6.0,false
187805,187805,LINTERNA C/LUZ 200-4300029,LINTERNA C/LUZ 200-4,Unid,Panamá,112392.0,,,2023-08-14 16:01:49.993,6285,0.0,false
247077,247077,CINTA 6CM 130-3400510,CINTA 6CM 130-340051,Unid,Panamá,12925.0,,,2025-08-28 11:52:23.627,6278,0.0,false
247310,247310,RAMA DECOR 70X30X10CM 140-5702932,Rama Decorativa 70cm,Unid,Panamá,29040.0,,,2025-08-28 14:03:34.313,7370,0.0,false
248505,248505,MAGNOLIA DECOR DORADO 140-5803044,Flor Decorativa,Unid,Panamá,13043.0,,,2025-09-12 10:32:05.930,7373,0.0,false
187010,187010,JGO DE PIÑAS 201-3500095,JGO DE PIÑAS 201-350,Unid,Panamá,61029.0,,,2023-08-07 15:20:13.397,6257,6.0,false
215746,215746,PLANTA C/POTE 140-1300909,PLANTA 140-1300909,Unid,Panamá,68095.0,,,2024-07-29 11:17:00.580,7371,0.0,false
218620,218620,831-XB043Z14 JGO 3 ESFERAS,JGO 3 ESFERAS,Unid,Panamá,42123.0,,,2024-09-13 13:59:47.780,6253,1.0,false
140279,140279,CAJA NAVIDEÑA DECO 831-XMTX194-244L-21C,CAJA NAVIDEÑA DECO 8,Unid,Panamá,22041.0,,,2021-11-11 12:23:34.300,6274,2.0,false
215281,215281,HOMBRE D/NIEVE 150-8000527B,HOMBRE 150-8000527B,Unid,Panamá,15772.0,,,2024-07-23 09:21:46.490,6257,0.0,false
248470,248470,ÁRBOL VERDE ÁRBOL DECODECOR 15X15X52CM 202-1800012,Árbol Verde 15x15x52,Unid,Panamá,42058.0,,,2025-09-12 09:45:45.977,6258,0.0,false
247389,247389,VELA 8X8X11.50CM 200-9500041,Vela Elegante 8x8 cm,Unid,Panamá,45069.0,,,2025-08-28 15:14:16.697,6298,0.0,false
222584,222584,SERVILLETA ÑAVIDEÑA,SERVILLETA ÑAVIDEÑA,Unid,Panamá,10007.0,,,2024-11-13 16:39:47.670,6296,17.0,false
257049,257049,CASITA NAVIDEÑA,CASITA NAVIDEÑA,Unid,Paraguay,45454.55,,,2025-12-03 14:19:49.947,6288,0.0,false
160811,160811,RAMA DECOR 140-5101172,RAMA DECOR 140-51011,Unid,Panamá,10294.0,,,2022-09-02 10:58:50.160,7370,3.0,false
215518,215518,JG BOLA DECOR 130-5001792,JG BOLA 130-5001792,Unid,Panamá,43768.0,,,2024-07-23 12:00:40.857,6253,29.0,false
218633,218633,130-9502524 JG BOLA DECOR,,Unid,Panamá,29429.0,,,2024-09-13 14:35:33.233,6253,0.0,false
254267,254267,CAJAS GORRO NOEL HOHO 3PCS 1020649,CAJAS GORRO NOEL HOH,Unid,Brasil,46637.0,,,2025-10-22 09:30:28.280,6273,0.0,false
224348,224348,FLOR NAVIDEÑA ROJA LY21-162,FLOR NAVIDEÑA ROJA,Unid,Paraguay,4090.909,,,2024-12-06 10:07:07.843,7373,165.0,false
160629,160629,RAMA DECOR 140-4100749,RAMA DECOR 140-41007,Unid,Panamá,16319.0,,,2022-08-30 11:08:03.653,7370,0.0,false
248376,248376,RAMA DECOR ROJO 20X76X8CM 201-3500322,Rama Decorativa Roja,Unid,Panamá,13880.0,,,2025-09-11 10:55:33.940,7370,85.0,false
254266,254266,BOLSA TRANSP 80X90 INCOLORA 52235,BOLSA TRANSP 80X90 I,Unid,Brasil,2387.0,,,2025-10-22 09:28:37.973,6270,258.0,false
254789,254789,ANILLO DE VELA DE NAVIDAD SZ2519-1531,ANILLO DE VELA DE NA,Unid,Panamá,17143.0,,,2025-10-28 10:28:08.910,6298,4.0,false
217078,217078,POINSETIA DECOR 140-4101721,POINSETIA DECOR 140-,Unid,Panamá,18641.0,,,2024-08-23 14:29:31.797,7373,15.0,false
248521,248521,MUÑECOS D/GENGIBRE DECO 2SURT 150-8000647,Muñecos Jengibre,Unid,Panamá,13628.0,,,2025-09-12 10:47:35.707,7333,0.0,false
245806,245806,ADORNO COLGANTE 6.50X28X0.50CM 140-1900300,Adorno Copo Nieve,Unid,Panamá,10209.0,,,2025-08-19 16:46:52.160,6257,1.0,false
246213,246213,BOLA DE NAVIDAD DE 15 CM JSR-DEC-24-15,Bola Navidad 15 cm,Unid,China,9705.0,,,2025-08-22 18:28:14.987,6253,3.0,false
246239,246239,ESTRELLA DE NAVIDAD DE 15 CM JSR-DEC-24-75,Estrella Roja 15 cm,Unid,China,15392.0,,,2025-08-22 19:39:15.370,6257,6.0,false
254875,254875,PINO MIXTO CON LAGRIMA XM25206-23,PINO MIXTO CON LAGRI,Unid,Panamá,64829.0,,,2025-10-29 12:12:18.460,7370,0.0,false
217289,217289,831-XR23-03 BOTA NAVIDEÑA RB,BOTA NAVIDEÑA RB,Unid,Panamá,42624.0,,,2024-08-26 16:30:29.560,6257,2.0,false
248363,248363,CASA NAV C/LUZ A/BAT2 21X11X28CM 200-9800241,CASA NAV C/LUZ A/BAT,Unid,Panamá,70737.0,,,2025-09-11 08:58:37.550,6257,0.0,false
245963,245963,ELFA DECOR RAYAS 22X9X69CM 150-8101052,ELFA DECOR 22X9X69CM,Unid,Panamá,72897.0,,,2025-08-21 14:24:01.083,6286,0.0,false
217233,217233,RAMA DECOR 140-5201408,RAMA DECOR 140-52014,Unid,Panamá,16210.0,,,2024-08-26 14:13:37.663,7370,0.0,false
246208,246208,BOLA DE NAVIDAD DE 10 CM JSR-DEC-24-8.,Bola Navidad 10 cm,Unid,China,3431.0,,,2025-08-22 18:23:54.730,6253,43.0,false
217529,217529,ESTRELLA 201-2200141,ESTRELLA 201-2200141,Unid,Panamá,23866.0,,,2024-08-28 11:51:47.873,6257,0.0,false
77706,77706,ROSA DECOR 73CM 456-512083.,ROSA DECOR 73CM 456-,Unid,Panamá,8859.0,,,2018-10-19 10:09:18.470,7373,38.0,false
114986,114986,INDIVIDUAL AL-2020-2-65,INDIVIDUAL AL-2020-2,Unid,China,10981.0,,,2020-10-07 10:30:24.870,6291,0.0,false
247308,247308,RAMA DECOR 25CM 140-5702836,Rama Decorativa 25cm,Unid,Panamá,8560.0,,,2025-08-28 14:02:59.510,7370,0.0,false
248086,248086,MINI PINO BASE MADERA VERDE/GRANATE 1075162,MINI PINO BASE MADER,Unid,Brasil,32262.0,,,2025-09-09 10:48:09.207,6256,0.0,false
254646,254646,SET 2 PAPEL DE SEDA NB2519-7494,SET 2 PAPEL DE SEDA,Unid,Panamá,5917.0,,,2025-10-24 11:44:40.660,6280,103.0,false
166446,166446,SERVILLETA NAVIDEÑA ROJA,SERVILLETA NAVIDEÑA,Unid,Paraguay,14954.545,,,2022-10-20 10:21:41.320,6296,0.0,false
160628,160628,RAMA DECOR 140-4100748,RAMA DECOR 140-41007,Unid,Panamá,16319.0,,,2022-08-30 10:59:35.340,7370,0.0,false
62900,62900,LUZ 100F MULTI VERD 10MTS 220V,Luces Multicolor 10m,Unid,Paraguay,50836.3636,,,2017-10-30 14:18:03.920,6285,17.0,false
134416,134416,CINTA 2SURT 130-5400161,Cinta,Unid,Panamá,15076.8453,,,2021-08-24 14:18:32.163,6278,8.0,false
248115,248115,BOLA TUBO FOSCA DORADA 8CM JG 1026445,BOLA TUBO FOSCA DORA,Unid,Brasil,15805.0,,,2025-09-09 11:42:49.457,6253,0.0,false
247335,247335,ESFERA DECOR 8X8X8CM 180-3301058,Esfera Decorativa,Unid,Panamá,10238.0,,,2025-08-28 14:24:00.763,6253,11.0,false
193104,193104,CINTA AMERICANA 6CMX45MTS ESCOCESA 53517,CINTA AMERICANA 6CMX,Unid,Paraguay,218181.82,,,2023-11-02 11:56:56.733,6278,0.0,false
254649,254649,INDIVIDUALES NAVIDEÑOS VERDE NB2519-7593,INDIVIDUALES NAVIDEÑ,Unid,Panamá,10703.0,,,2025-10-24 11:51:03.647,6291,0.0,false
215047,215047,ADORNO C/LUZ 130-0200117,ADORNO 130-0200117,Unid,Panamá,59888.0,,,2024-07-19 09:51:57.400,6257,3.0,false
163573,163573,"CINTA 6,3CM NB22196-7","CINTA 6,3CM NB22196-",Unid,Panamá,21677.0,,,2022-10-05 09:39:44.807,6278,2.0,false
247115,247115,CINTA 6.3CM x 9YDS 130-5400617,CINTA 6.3CM x 9YDS 1,Unid,Panamá,20309.0,,,2025-08-28 12:09:12.720,6278,2.0,false
219587,219587,150-8100951B HOMBRE DE NIEVE,150-8100951B HDNIEVE,Unid,Panamá,17015.0,,,2024-09-23 16:11:22.763,6257,0.0,false
